"id","age","gender","education","income","hours_online","trust_science","region","policy_support"
3,68,"female","secondary",2388,2.5,1,"rural",2
5,20,"female","undergrad",2931,4.8,4,"suburban",5
7,67,"female","undergrad",2892,4.1,5,"rural",3
8,60,"female","undergrad",1543,3.4,5,"suburban",4
9,54,"female","postgrad",2870,0.4,5,"suburban",3
10,69,"female","secondary",3277,5.6,4,"rural",5
12,42,"female","secondary",2923,3.5,3,"urban",5
13,43,"male","postgrad",4464,3.1,2,"rural",5
15,22,"female","secondary",3137,2.5,2,"rural",3
17,44,"female","secondary",1376,1,2,"suburban",3
22,25,"non_binary","secondary",2288,5.3,1,"urban",1
23,43,"female","undergrad",1742,1.9,3,"suburban",3
24,24,"female","secondary",3092,1.8,1,"suburban",3
25,59,"male","undergrad",3217,3.7,2,"urban",4
26,26,"male","postgrad",2223,2.8,3,"urban",5
27,36,"female","undergrad",1074,7.1,4,"rural",3
29,31,"female","secondary",939,1.1,3,"rural",1
31,60,"non_binary","postgrad",2891,4.6,2,"rural",5
32,56,"female","secondary",3222,4.4,3,"rural",3
35,32,"female","postgrad",2021,1.6,4,"urban",4
36,49,"male","secondary",1435,4.4,5,"rural",4
38,62,"male","undergrad",3941,2.5,5,"rural",5
39,24,"male","postgrad",3344,0,4,"suburban",5
41,58,"male","undergrad",1841,4.4,1,"urban",2
44,44,"male","undergrad",2560,1.7,2,"suburban",2
46,24,"male","undergrad",3677,0.9,4,"rural",5
54,22,"male","secondary",829,4.3,3,"rural",2
55,25,"male","postgrad",2480,4,5,"urban",5
56,29,"male","secondary",3211,5.6,2,"urban",3
57,30,"female","undergrad",2230,1.9,4,"rural",2
59,50,"female","postgrad",2845,2.7,2,"suburban",5
61,42,"male","secondary",1261,4.5,1,"rural",3
63,38,"male","secondary",3443,4.6,5,"urban",5
65,58,"male","postgrad",1018,4.8,1,"rural",1
66,64,"male","undergrad",2889,3.7,4,"urban",5
71,47,"female","undergrad",1459,1.1,5,"urban",3
73,60,"female","secondary",3123,6.1,1,"rural",3
74,25,"male","undergrad",3052,3.6,4,"urban",5
77,56,"non_binary","undergrad",2249,5.1,5,"urban",3
79,65,"female","postgrad",3331,3.7,5,"urban",5
80,34,"male","postgrad",2091,4.7,1,"suburban",2
84,21,"female","undergrad",3045,5.2,5,"suburban",5
86,22,"male","secondary",3170,3.5,3,"suburban",4
87,68,"male","undergrad",2267,3.2,4,"urban",4
88,42,"male","undergrad",2756,2,5,"suburban",5
89,69,"female","secondary",1404,2.9,5,"rural",2
91,42,"female","postgrad",3608,2,4,"rural",5
93,63,"female","secondary",3355,6.2,3,"rural",5
94,42,"female","undergrad",1231,1.2,4,"urban",4
95,40,"female","undergrad",2193,3.2,1,"rural",3
97,57,"male","undergrad",2949,1.9,2,"urban",3
98,65,"male","secondary",1348,3.8,2,"rural",4
99,47,"female","undergrad",1695,1.7,4,"suburban",4
101,48,"male","secondary",2543,1,1,"rural",3
102,63,"male","secondary",2041,2.6,2,"rural",2
103,47,"male","undergrad",2676,4.1,4,"rural",5
104,52,"female","postgrad",1832,-0.2,5,"urban",5
105,31,"female","secondary",2396,3.2,3,"urban",4
106,46,"non_binary","undergrad",2954,4.3,1,"rural",2
108,24,"male","undergrad",2602,4.5,3,"urban",4
109,20,"female","postgrad",1739,2,2,"rural",4
110,40,"female","postgrad",1970,3.2,4,"suburban",4
113,54,"male","postgrad",2668,4.9,5,"urban",5
114,25,"male","undergrad",1458,3.1,5,"urban",4
115,68,"male","secondary",2204,1.7,5,"urban",5
117,67,"male","secondary",3373,5.1,5,"suburban",5
119,61,"female","undergrad",2248,2.7,1,"rural",1
121,27,"male","secondary",2542,2.9,1,"suburban",3
122,39,"male","secondary",2989,3.5,2,"urban",5
123,29,"female","undergrad",2265,4.6,1,"urban",3
124,37,"female","postgrad",356,4,1,"rural",1
128,52,"male","undergrad",3055,2.8,2,"suburban",4
129,57,"female","secondary",2729,3.3,2,"rural",5
130,63,"female","secondary",902,3.7,2,"urban",2
133,32,"female","undergrad",2116,3.7,2,"suburban",3
134,41,"female","undergrad",4331,3.7,3,"rural",5
135,66,"female","postgrad",70,3.3,1,"suburban",1
136,40,"male","postgrad",1665,4.4,4,"urban",4
138,24,"male","undergrad",2556,1.3,3,"rural",4
139,46,"female","undergrad",1313,0.2,3,"urban",1
143,55,"male","undergrad",2480,2.6,2,"urban",4
145,49,"female","undergrad",1837,4.4,1,"rural",4
146,24,"female","undergrad",1925,2.1,4,"suburban",4
147,44,"male","secondary",2464,3,1,"suburban",4
148,59,"male","undergrad",1651,4.3,1,"suburban",3
